학교,체험처,학교_위도,학교_경도,체험처_위도,체험처_경도
초전중학교,SW코딩 전문가(음성인식무드등 제작),35.97707649,128.2641006,35.9927198,128.3872542
초전중학교,나만의 폰 가방만들기,35.97707649,128.2641006,35.83007465,128.7197841
초전중학교,"오디로 놀자! (오디따기, 오디빙수만들기)(농장 체험)",35.97707649,128.2641006,35.92362,128.89645
초전중학교,참외피클과 바베큐팜파티,35.97707649,128.2641006,35.97119,128.3058
초전중학교,창작이 즐거운 코딩,35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,신나는 드럼(드럼 기초 배우기),35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,공기반 소리반 보컬트레이닝,35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,"기초부터 배우는 아크릴, 유화",35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,영어로배우는체육교실,35.97707649,128.2641006,35.64315,128.74319
초전중학교,와인맛의 감정사 소믈리에 (식사와 함께하는 와인예절교육),35.97707649,128.2641006,35.92362,128.89645
초전중학교,"지역자원과 연계한 농촌체험- 관광지도만들기, 참외피클과 바베큐 팜파티, 피크닉 도시락 만들기",35.97707649,128.2641006,35.97119,128.3058
초전중학교,도전 세계사,35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,미래식량자원인 곤충 체험,35.97707649,128.2641006,35.698467,128.5734164
초전중학교,박정희대통령 생가 둘러보기,35.97707649,128.2641006,36.12323105,128.3413768
초전중학교,"화석과 광물의 세계(지질학자, 고고학자 체험)",35.97707649,128.2641006,36.1582024,128.2603792
초전중학교,글씨를 디자인하다 (캘리그라퍼),35.97707649,128.2641006,36.1258279,128.3352152
초전중학교,캔버스 아크릴화 그리기,35.97707649,128.2641006,35.9829227,128.3839164
초전중학교,캘리그라피,35.97707649,128.2641006,36.1378904,128.444395
초전중학교,캘리그라,35.97707649,128.2641006,35.9829227,128.3839164
초전중학교,풍선아트,35.97707649,128.2641006,36.1378904,128.444395
경덕중학교,나도 마술사! 마술체험,36.56002748,128.708754,36.4281491,128.1707283
경덕중학교,박정희대통령 생가 둘러보기,36.56002748,128.708754,36.12323105,128.3413768
경덕중학교,"재미있게 배우는 수채화, 드로잉",36.56002748,128.708754,36.4281491,128.1707283
경덕중학교,청소년 회복탄력성 -오늘도 뚝심있게 이겨내기,36.56002748,128.708754,36.1020797,128.3820047
경덕중학교,틱톡 틱톡(탁구 체험),36.56002748,128.708754,36.591216,128.1870866
경덕중학교,너의 성장은 타로와 함께,36.56002748,128.708754,36.591216,128.1870866
경덕중학교,도전 세계사,36.56002748,128.708754,36.4281491,128.1707283
경덕중학교,신나고 활기찬 댄스,36.56002748,128.708754,36.591216,128.1870866
경덕중학교,약사 체험,36.56002748,128.708754,36.8070556,128.6293459
경덕중학교,틱톡 틱톡(탁구 체험),36.56002748,128.708754,36.591216,128.1870866
경덕중학교,6차산업 체험 생강오란다 만들기(지역 농산물 활용),36.56002748,128.708754,36.8143403,128.6172124
경덕중학교,"Do Dream(두드림_주왕산국립공원 직업체험 프로그램)(동식물 전문가, 환경교육전문가)",36.56002748,128.708754,36.356887,129.15953
경덕중학교,농촌체험관광 진로체험,36.56002748,128.708754,36.60483,129.29989
경덕중학교,어드벤티어링(농장 체험),36.56002748,128.708754,36.52935,129.05015
경덕중학교,자유학기제 산림항공본부 진로체험 프로그램,36.56002748,128.708754,36.5420192,128.7266552
경덕중학교,웹툰작가,36.56002748,128.708754,36.591216,128.1870866
경덕중학교,너의 성장은 타로와 함께,36.56002748,128.708754,36.591216,128.1870866
경덕중학교,바른인성을 지닌 건강한 학생 어깨동무 (어울려서  깨닫는  동갑내기  무얼하든 즐겁게!),36.56002748,128.708754,36.1020797,128.3820047
