강좌명,프로그램명,점수,학교_위도,학교_경도,체험처_위도,체험처_경도
재미있는 수학 세상,3D프린터전문가 - 중학생을 위한 3D프린트 체험,0.6193198344540988,36.0858103,129.3869383,35.9927198,128.3872542
사고력과 감수성,수상스키 타기,0.7620394369589751,36.06592065,129.3690432,35.95653,128.48785
사고력과 감수성,"김동리, 박목월 선생님 일대기(시인, 소설가와의 만남, 방송작가, 드라마 영화작가 연계체험)",0.7290377360099299,36.06592065,129.3690432,35.7855363,129.3194854
사고력과 감수성,마법의 젤리 만들기 ('책 읽는 두꺼비' 책과 함께),1.2427131175002442,36.06592065,129.3690432,36.039332,129.3677169
사고력과 감수성,"쇼콜라티에(2교시,초콜릿)",0.48673575243882383,36.06592065,129.3690432,36.8070556,128.6293459
사고력과 감수성,적과한 사과를 이용하여 동물가족 표현하기,1.0931078014982865,36.06592065,129.3690432,36.039332,129.3677169
사고력과 감수성,예술로 마음을 도닥인다 : 도닥도닥 사회적 협동조합,1.0020852183179207,36.06592065,129.3690432,35.825122,128.741329
사고력과 감수성,식품으로 만나는 예술 체험,1.1503612804408385,36.06592065,129.3690432,36.039332,129.3677169
사고력과 감수성,"검사, 검찰 수사관 체험",0.9378435431766369,36.06592065,129.3690432,35.8444497,129.2173
사고력과 감수성,웹툰작가,0.6813040243495301,36.06592065,129.3690432,36.591216,128.1870866
사고력과 감수성,"호국보훈의달 프로그램 「분단의 시작, 한국전쟁이야기」 +  골든벨(역사 체험)",1.6713923570845273,36.06592065,129.3690432,35.96797,128.92488
시랑 나랑 이야기랑,너의 성장은 타로와 함께,0.8054468493545963,36.06592065,129.3690432,36.591216,128.1870866
시랑 나랑 이야기랑,소원을 담은 나만의 와인,0.8327790488365304,36.06592065,129.3690432,35.92362,128.89645
시랑 나랑 이야기랑,청소년 진로설계 -우연히 주인공이 되는 선택,1.658204220292688,36.06592065,129.3690432,36.1020797,128.3820047
시랑 나랑 이야기랑,"미용사 , 나의 적성에 맞는 일인지 궁금해요 !미용사 진로직업 체험",0.7675849538301648,36.06592065,129.3690432,36.5684049,128.6933617
시랑 나랑 이야기랑,말산업에 대한 진로체험,0.6187885909988124,36.06592065,129.3690432,35.73209,128.25741
시랑 나랑 이야기랑,나를 찾아 떠나는 여행' 가능성 진로 캠프,1.013918674003904,36.06592065,129.3690432,36.1020797,128.3820047
시랑 나랑 이야기랑,확 빠진자(건강 상태 체크),1.6665588431303222,36.06592065,129.3690432,35.96797,128.92488
시랑 나랑 이야기랑,박정희대통령 생가 둘러보기,0.7304424920139867,36.06592065,129.3690432,36.12323105,128.3413768
시랑 나랑 이야기랑,"김동리, 박목월 선생님 일대기(시인, 소설가와의 만남, 방송작가, 드라마 영화작가 연계체험)",0.8079879070311524,36.06592065,129.3690432,35.7855363,129.3194854
시랑 나랑 이야기랑,"딸기, 네가 궁금해",1.4831084800507353,36.06592065,129.3690432,36.81682,128.68757
우리는 세계시민,도전_세계사,0.4256475006620283,36.06592065,129.3690432,36.4281491,128.1707283
우리는 세계시민,도전-세계사,0.3949951908532644,36.06592065,129.3690432,36.4281491,128.1707283
우리는 세계시민,도전 세계사,0.9450293301495462,36.06592065,129.3690432,36.4281491,128.1707283
우리는 세계시민,사회적기업가의 삶,0.17082268055850938,36.06592065,129.3690432,35.9829227,128.3839164
우리는 세계시민,"드림콘서트(1) 글로벌리더 육성을 위한 진로캠프 - Dream Concert(인성교육, 자존감 높이기)",1.006440297472245,36.06592065,129.3690432,35.820083,128.7311572
우리는 세계시민,에너지 전문가 비전 세우기,0.7408487578583096,36.06592065,129.3690432,35.7888894,129.3865654
우리는 세계시민,너의 성장은 타로와 함께,0.9830397826301807,36.06592065,129.3690432,36.591216,128.1870866
우리는 세계시민,청소년 회복탄력성 -오늘도 뚝심있게 이겨내기,0.9215779702815319,36.06592065,129.3690432,36.1020797,128.3820047
우리는 세계시민,진로체험 - 에너지 환경공학자,1.3048158954785127,36.06592065,129.3690432,35.81635,128.73541
우리는 세계시민,나.살.만 (나의 살만한 마을만들기) 프로젝트(메타버스),0.7416651377102599,36.06592065,129.3690432,36.1587802,128.260222
여행 스케치,박정희대통령 생가 둘러보기,1.0598804968807705,36.06592065,129.3690432,36.12323105,128.3413768
